state,statefp,cd113fp,zip5
AL,01,02,36476
AL,01,02,36477
AL,01,02,36483
AL,01,02,36749
AL,01,03,35011
AL,01,03,35014
AL,01,03,35032
AL,01,03,35044
AL,01,03,35052
AL,01,03,35054
AL,01,03,35082
AL,01,03,35096
AL,01,03,35112
AL,01,03,35120
AL,01,03,35125
AL,01,03,35128
AL,01,03,35131
AL,01,03,35135
AL,01,03,35146
AL,01,03,35149
AL,01,03,35150
AL,01,03,35151
AL,01,03,35160
AL,01,03,35161
AL,01,03,35182
AL,01,03,35004
AL,01,03,35010
AL,01,03,35983
AL,01,03,35987
AL,01,03,35953
AL,01,03,36013
AL,01,03,35959
AL,01,03,35960
AL,01,03,36023
AL,01,03,36031
AL,01,03,36039
AL,01,03,36064
AL,01,03,36057
AL,01,03,36075
AL,01,03,36083
AL,01,03,36087
AL,01,03,36088
AL,01,03,36201
AL,01,03,36202
AL,01,03,36203
AL,01,03,36204
AL,01,03,36210
AL,01,03,36250
AL,01,03,36251
AL,01,03,36253
AL,01,03,36254
AL,01,03,36255
AL,01,03,36256
AL,01,03,36257
AL,01,03,36258
AL,01,03,36260
AL,01,03,36261
AL,01,03,36262
AL,01,03,36263
AL,01,03,36264
AL,01,03,36265
AL,01,03,36266
AL,01,03,36267
AL,01,03,36268
AL,01,03,36269
AL,01,03,36271
AL,01,03,36272
AL,01,03,36273
AL,01,03,36274
AL,01,03,36275
AL,01,03,36276
AL,01,03,36277
AL,01,03,36278
AL,01,03,36279
AL,01,03,36280
AL,01,03,36207
AL,01,03,36206
AL,01,03,36205
AL,01,03,36801
AL,01,03,36802
AL,01,03,36803
AL,01,03,36804
AL,01,03,36830
AL,01,03,36831
AL,01,03,36832
AL,01,03,36849
AL,01,03,36850
AL,01,03,36851
AL,01,03,36852
AL,01,03,36853
AL,01,03,36854
AL,01,03,36855
AL,01,03,36856
AL,01,03,36858
AL,01,03,36859
AL,01,03,36860
AL,01,03,36861
AL,01,03,36862
AL,01,03,36863
AL,01,03,36865
AL,01,03,36866
AL,01,03,36867
AL,01,03,36868
AL,01,03,36869
AL,01,03,36870
AL,01,03,36871
AL,01,03,36872
AL,01,03,36874
AL,01,03,36875
AL,01,03,36877
AL,01,03,36879
AL,01,04,35016
AL,01,04,35019
